City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,mount pearl,47.5166,-52.7813,1.19,91,100,10.29,CA,1712098512
82,general villegas,-35.0328,-63.0125,17.98,52,41,4.12,AR,1712098428
83,invercargill,-46.4,168.35,16.12,69,99,4.02,NZ,1712097965
84,dmitrovsk-orlovskiy,52.505,35.1464,13.4,75,100,6.49,RU,1712098612
85,olonkinbyen,70.9221,-8.7187,-3.6,63,78,6.7,SJ,1712098005
86,laascaanood,8.4774,47.3597,23.63,73,11,4.45,SO,1712098614
87,sanya,18.2431,109.505,28.09,78,40,3.0,CN,1712098614
88,nemuro,43.3236,145.575,1.71,66,1,3.55,JP,1712098615
89,klyuchi,52.2667,79.1667,0.32,98,92,2.83,RU,1712098288
90,moju,-1.8839,-48.7689,24.67,98,98,1.18,BR,1712098617
91,badger,64.8,-147.5333,-10.01,62,75,4.63,US,1712098618
92,hermanus,-34.4187,19.2345,14.33,83,59,4.12,ZA,1712098314
93,manawar,22.2333,75.0833,27.43,27,73,3.63,IN,1712098619
94,carnarvon,-24.8667,113.6333,27.95,42,55,8.31,AU,1712098383
95,lishui,28.4604,119.9103,20.55,95,100,1.43,CN,1712098620
96,wolmaransstad,-27.1974,25.9831,20.76,49,88,3.25,ZA,1712098621
97,umm kaddadah,13.6017,26.6876,24.89,13,99,4.66,SD,1712098622
98,stanley,54.868,-1.6985,7.62,94,75,2.57,GB,1712098228
99,guajara mirim,-10.7828,-65.3394,26.84,80,50,1.78,BR,1712098484
100,tucuma,-0.1833,-50.05,26.02,89,99,2.8,BR,1712098296
101,tazovsky,67.4667,78.7,-3.44,96,100,7.34,RU,1712098373
102,san luis de la loma,17.2706,-100.8939,28.34,65,67,5.15,MX,1712098625
103,aitape,-3.1374,142.3475,26.84,85,100,0.95,PG,1712098626
104,aras-asan,8.8908,126.3033,25.93,83,23,0.81,PH,1712098626
105,constantia,44.1833,28.65,13.38,57,98,3.22,RO,1712098627
106,tofol,5.3248,163.0078,30.88,70,100,7.2,FM,1712098628
107,zouerate,22.7187,-12.4521,26.1,15,0,6.74,MR,1712098628
108,pisco,-13.7,-76.2167,25.03,69,75,6.17,PE,1712098044
109,ust-nera,64.5667,143.2,-13.89,86,68,1.05,RU,1712098021
110,palmas,-10.2128,-48.3603,25.93,78,75,2.06,BR,1712098273
111,laguna,38.421,-121.4238,25.36,40,0,6.17,US,1712098341
112,alpena,45.0617,-83.4327,3.18,94,100,7.72,US,1712098633
113,lanzhou,36.0564,103.7922,8.77,57,100,1.1,CN,1712098634
114,fort irwin,35.2627,-116.6848,21.9,20,0,3.6,US,1712098635
115,debno,52.739,14.698,10.08,83,86,7.6,PL,1712098636
116,puerto natales,-51.7236,-72.4875,3.55,76,25,4.26,CL,1712098232
117,port elizabeth,-33.918,25.5701,17.95,78,0,5.14,ZA,1712097996
118,zhenlai,45.8495,123.2973,3.29,31,0,5.45,CN,1712098638
119,korla,41.7597,86.1469,7.91,58,4,1.67,CN,1712098639
120,gwadar,25.1216,62.3254,24.71,69,100,2.31,PK,1712098639
121,nar'yan-mar,67.6713,53.087,-16.33,91,5,5.01,RU,1712098640
122,ancud,-41.8697,-73.8203,10.32,76,67,6.97,CL,1712098231
123,miguel ahumada,30.6167,-106.5167,15.71,27,87,3.6,MX,1712098642
124,okhotsk,59.3833,143.3,-7.32,70,9,7.36,RU,1712098643
125,acapulco de juarez,16.8634,-99.8901,27.72,70,53,6.01,MX,1712098643
126,takoradi,4.8845,-1.7554,27.75,87,92,2.51,GH,1712098280
127,varna,43.2167,27.9167,16.08,41,100,6.69,BG,1712098645
128,valparaiso,-33.0393,-71.6273,24.13,49,0,5.14,CL,1712098380
129,pacific grove,36.6177,-121.9166,22.58,73,0,3.09,US,1712098646
130,prainha,-1.8,-53.48,25.4,91,91,1.21,BR,1712098647
131,dunedin,-45.8742,170.5036,14.33,77,100,1.34,NZ,1712098240
132,terbanggi besar,-4.8667,105.2333,24.55,92,98,1.87,ID,1712098648
133,mount gambier,-37.8333,140.7667,14.05,83,96,3.3,AU,1712098361
134,kupino,54.3663,77.2981,0.11,99,100,2.34,RU,1712098649
135,vila velha,-20.3297,-40.2925,27.97,84,0,2.57,BR,1712098348
136,san patricio,28.017,-97.5169,30.97,27,0,7.8,US,1712098324
137,seaside,36.6111,-121.8516,22.86,70,0,3.09,US,1712098652
138,bahadurganj,26.2667,87.8167,22.46,29,30,2.62,IN,1712098653
139,tsiombe,-25.3,45.4833,21.13,89,0,4.55,MG,1712098653
140,kayangel,8.0823,134.7173,27.96,80,77,10.51,PW,1712098654
141,yuxia,34.0615,108.6291,12.34,56,100,2.36,CN,1712098655
142,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-0.48,90,77,3.13,RU,1712098655
143,mejit,10.2753,170.8646,26.81,72,100,7.84,MH,1712098234
144,zamora,-4.0692,-78.9567,20.58,96,100,0.45,EC,1712098616
145,puerto leguizamo,-0.1934,-74.7819,24.9,93,84,0.47,CO,1712098657
146,mandal,25.45,74.5667,23.69,28,43,1.82,IN,1712098658
147,kohlu,29.8962,69.252,17.65,23,52,2.41,PK,1712098659
148,haicheng,40.8516,122.7475,7.71,29,100,6.82,CN,1712098659
149,zyryanovsk,49.7386,84.2719,-0.29,98,100,0.39,KZ,1712098660
150,al lagowa,11.4,29.1333,27.8,12,95,3.2,SD,1712098661
151,rafraf,37.1904,10.1837,14.17,78,88,2.12,TN,1712098661
152,kyren,51.6828,102.1408,-2.25,76,48,0.89,RU,1712098662
153,jinchang,38.4953,102.1739,6.63,63,100,1.69,CN,1712098663
154,puerto ayora,-0.7393,-90.3518,28.98,90,93,1.34,EC,1712098317
155,san pedro,14.35,121.0167,27.95,77,20,4.02,PH,1712098664
156,inongo,-1.95,18.2667,23.48,86,89,1.76,CD,1712098665
157,saint-joseph,-21.3667,55.6167,24.21,81,93,6.81,RE,1712098408
158,salalah,17.0151,54.0924,24.97,59,69,0.45,OM,1712098666
159,hobyo,5.3505,48.5268,28.23,74,25,4.01,SO,1712098667
160,mana,5.6592,-53.7767,26.92,85,22,4.27,GF,1712098667
161,punta arenas,-53.15,-70.9167,6.06,65,40,6.17,CL,1712098425
162,hailar,49.2,119.7,-10.76,91,33,2.69,CN,1712098669
163,chamical,-30.36,-66.314,19.43,65,6,4.47,AR,1712098465
164,cannonvale,-20.2833,148.7,26.66,76,27,4.8,AU,1712098670
165,greenville,35.6127,-77.3663,29.09,48,0,3.09,US,1712098247
166,roma,43.2128,-75.4557,6.71,86,100,4.12,US,1712098671
167,tolanaro,-25.0319,46.9987,23.04,83,75,3.09,MG,1712098325
168,tafuna,-14.3358,-170.72,29.35,79,100,8.02,AS,1712098672
169,arawa,-6.2132,155.5367,29.04,79,57,2.88,PG,1712098673
170,portland,45.5234,-122.6762,24.78,38,20,2.68,US,1712098017
171,alofi,-19.0595,-169.9187,29.94,74,75,7.2,NU,1712098674
172,kiruna,67.8557,20.2251,-23.49,77,7,2.57,SE,1712098675
173,palangkaraya,-2.2,113.8333,24.43,97,66,0.99,ID,1712098676
174,sur,22.5667,59.5289,26.42,46,91,2.08,OM,1712098676
175,moody,33.5909,-86.4908,25.89,64,86,2.24,US,1712098677
176,dahay,6.3969,124.7225,24.54,82,100,0.61,PH,1712098678
177,morehead city,34.7229,-76.726,22.79,82,0,8.23,US,1712098570
178,chul'man,56.8479,124.9104,-6.37,92,99,4.85,RU,1712098679
179,nishinoomote,30.7333,131.0,21.98,91,100,8.48,JP,1712098680
180,smara,26.7384,-11.6719,16.76,61,0,6.29,EH,1712098680
181,farkhar,36.5729,69.8578,6.48,97,100,1.15,AF,1712098681
182,floresta,-8.6011,-38.5686,28.91,61,100,3.63,BR,1712098682
183,qaqortoq,60.7167,-46.0333,-7.56,86,0,1.71,GL,1712098018
184,wanning,18.8003,110.3967,25.39,90,10,4.89,CN,1712098683
185,buzuluk,52.7807,52.2635,4.98,84,6,3.58,RU,1712098684
186,ploneour-lanvern,47.9,-4.2833,12.16,93,100,8.38,FR,1712098685
187,malanje,-9.5402,16.341,19.5,95,98,1.47,AO,1712098685
188,izluchinsk,60.9794,76.9242,1.01,89,100,8.14,RU,1712098686
189,hamilton,39.1834,-84.5333,19.96,92,100,8.23,US,1712098156
190,sidi bennour,32.6524,-8.4277,12.43,80,40,3.58,MA,1712098687
191,amga,60.8953,131.9608,-10.56,96,100,1.82,RU,1712098688
192,hanko,59.8333,22.95,0.47,95,100,9.83,FI,1712098689
193,calamar,10.2511,-74.9146,32.32,49,100,5.62,CO,1712098689
194,east london,-33.0153,27.9116,18.55,71,15,3.27,ZA,1712098379
195,vadso,70.0744,29.7487,-10.91,79,96,6.69,NO,1712098691
196,bay roberts,47.5999,-53.2648,1.85,86,78,4.92,CA,1712098692
197,kuqa,41.7278,82.9364,8.46,42,27,0.83,CN,1712098693
198,bredasdorp,-34.5322,20.0403,15.99,88,49,1.43,ZA,1712098303
199,ferkessedougou,9.6,-5.2,33.26,27,38,2.48,CI,1712098694
200,codrington,-38.2667,141.9667,14.27,80,82,4.55,AU,1712098695
201,cadale,2.7603,46.3222,28.32,75,19,2.64,SO,1712098695
202,camabatela,-8.1881,15.375,17.4,96,98,0.5,AO,1712098696
203,kalabo,-14.97,22.6814,19.27,89,84,1.7,ZM,1712098698
204,eyl,7.9803,49.8164,26.9,76,37,5.03,SO,1712098698
205,palikir - national government center,6.9248,158.1611,28.47,79,100,7.72,FM,1712098699
206,happy valley-goose bay,53.3168,-60.3315,1.17,75,75,7.72,CA,1712098700
207,longyearbyen,78.2186,15.6401,-17.09,71,75,4.63,SJ,1712098337
208,praia da vitoria,38.7333,-27.0667,17.14,82,40,9.13,PT,1712098359
209,kodiak,57.79,-152.4072,0.73,34,0,9.26,US,1712098228
210,baikonur,45.6167,63.3167,9.04,53,2,4.28,KZ,1712098702
211,polyarnyye zori,67.3661,32.4981,-12.79,100,42,1.27,RU,1712098703
212,hotan,37.0997,79.9269,9.1,26,48,2.27,CN,1712098382
213,lugovoye,42.9094,72.7178,7.11,68,89,0.59,KZ,1712098704
214,matoury,4.8483,-52.3317,27.98,83,75,3.09,GF,1712098705
215,ulladulla,-35.35,150.4667,17.36,62,62,0.63,AU,1712098706
216,as sulayyil,20.4607,45.5779,19.14,62,99,1.23,SA,1712098330
